event_date,total_sessions,conversions,conversion_rate,total_revenue,cvr_rolling_7d_mean,cvr_deviation,anomaly_score,is_anomaly,anomaly_severity
2021-01-21,4654,49,0.0105285775676837,2920.45,0.008262153278108943,0.8298768348805011,0.48275533300689766,0,normal
2021-01-22,4059,88,0.021680216802168,4529.91,0.0102467325364516,1.9953511330501086,0.5675065668279863,0,warning
2021-01-23,3105,43,0.0138486312399355,2367.2,0.010674823109402773,0.5386224105256445,0.5025323148761873,0,watch
2021-01-24,2938,35,0.0119128658951667,1595.72,0.011289606107561844,0.10854598298230712,0.49114276010886654,0,normal
2021-01-25,3877,58,0.0149600206345112,2601.4,0.012752670348622801,0.4369410366401688,0.4790995792652054,0,normal
2021-01-26,4063,51,0.0125523012552301,838.5,0.013826977692764272,-0.33770893201924046,0.4861728664146016,0,normal
2021-01-27,167,0,0.0,0.0,0.012211801913527887,-1.8841341856216236,0.6320441541702401,1,critical
2021-01-28,4146,56,0.0135069946936806,115.47,0.012637290074384586,0.13483462438669117,0.4511365303038105,0,normal
2021-01-29,3757,51,0.0135746606334841,109.92,0.011479353478858314,0.40658695240697396,0.4710018769441656,0,normal
2021-01-30,2834,28,0.009880028228652,56.07,0.010912410191532098,-0.20375086690501196,0.47118642230802166,0,normal
2021-01-31,2780,18,0.0064748201438848,0.0,0.010135546512777541,-0.6907716013801359,0.46331205589994184,0,normal
