event_date,total_sessions,conversions,conversion_rate,total_revenue,cvr_rolling_7d_mean,cvr_deviation,anomaly_score,is_anomaly,anomaly_severity
2020-12-28,3338,32,0.0095865787896944,1783.13,0.009300149824563128,0.0838953402120367,0.46546376824276037,0,normal
2020-12-29,3407,22,0.0064572938068682,637.0799999999999,0.008495815317496672,-0.6159431586655973,0.4547345971626519,0,normal
2020-12-30,3190,21,0.0065830721003134,463.7,0.007223680088610999,-0.5184775401136241,0.4380193759638035,0,normal
2020-12-31,2596,22,0.0084745762711864,2233.92,0.007302588381480215,0.8991911550708362,0.5366342245983339,0,watch
2021-01-01,2296,12,0.0052264808362369,810.65,0.007125466070904057,-1.2620641006149245,0.5265505817365339,0,watch
2021-01-02,2716,14,0.0051546391752577,936.01,0.007000609378640843,-1.1249456586801811,0.49380270957110217,0,normal
2021-01-03,2765,14,0.0050632911392405,413.28,0.006649418874113929,-0.8966624160280626,0.5125781748275207,0,watch
2021-01-04,3334,16,0.0047990401919616,678.04,0.005965484788723529,-0.8903927511773124,0.49837796616544794,0,normal
2021-01-06,5968,28,0.0046916890080428,1435.44,0.005713255531748471,-0.7466282839839102,0.5500819061664233,0,warning
2021-01-07,4623,25,0.0054077438892494,791.15,0.005545351501596471,-0.10466203304907389,0.45487809901270326,0,normal
2021-01-08,4228,34,0.0080416272469252,1106.4,0.005483501640987729,2.2159383342622005,0.534154763716041,0,watch
2021-01-09,3243,18,0.005550416281221,985.07,0.005529778133128315,0.017963709382027633,0.5176715357593052,0,watch
2021-01-10,2983,14,0.0046932618169627,658.4499999999999,0.005463867081943315,-0.6494206218433507,0.4946303361297285,0,normal
2021-01-11,3928,27,0.0068737270875763,1249.2,0.005722500788848429,0.9004590394789158,0.520538982033234,0,watch
2021-01-12,4685,43,0.0091782283884738,2126.24,0.006348099102635886,1.6269002869086484,0.5084806360553875,0,watch
2021-01-13,4494,35,0.0077881619937694,1297.73,0.006790452386311115,0.6087434749641791,0.44017918509679593,0,normal
2021-01-15,3902,38,0.0097385955920041,1494.36,0.0074091454867046425,1.2690117139144146,0.49483847806433556,0,normal
2021-01-16,3154,24,0.0076093849080532,1263.62,0.0073473965811515,0.14410764054076908,0.49941606719567455,0,normal
2021-01-17,2967,14,0.0047185709470845,209.58,0.007228561533417714,-1.270614147812018,0.5450398577615125,0,watch
2021-01-18,3577,18,0.0050321498462398,764.28,0.007276974109028729,-1.177857929299861,0.522364390721122,0,watch
2021-01-19,4157,47,0.0113062304546547,1642.6,0.007910188875754214,1.4049053266941574,0.4627705540858294,0,normal
2021-01-20,4742,94,0.0198228595529312,5121.88,0.009430850470676698,2.0176025519127325,0.5844184041347121,1,warning
2021-01-23,3105,43,0.0138486312399355,2367.2,0.01029663179155757,0.665841495454638,0.5566023635089056,1,warning
2021-01-24,2938,35,0.0119128658951667,1595.72,0.010607241834866513,0.24358958884413093,0.5126999680187726,0,watch
2021-01-25,3877,58,0.0149600206345112,2601.4,0.011657332652931942,0.6122144614011239,0.4684724428029361,0,normal
2021-01-26,4063,51,0.0125523012552301,838.5,0.012776436982667028,-0.05043411199011816,0.46529698192001234,0,normal
2021-01-27,4465,50,0.0111982082866741,241.6,0.013657302474157642,-0.807912853160801,0.47562093076221473,0,normal
2021-01-28,4146,56,0.0135069946936806,115.47,0.013971697365447056,-0.1619687133194278,0.4418880194609263,0,normal
2021-01-29,3757,51,0.0135746606334841,109.92,0.01307909751981176,0.3890662555833693,0.47358169130879907,0,normal
2021-01-30,2834,28,0.009880028228652,56.07,0.012512154232485544,-1.557944756727018,0.5160607036588798,0,watch
2021-01-31,2780,18,0.0064748201438848,0.0,0.011735290553730987,-1.8409323017538968,0.5285952773353992,0,watch
